ID,Customer ID,Region,Store,Date,Week,Phone Type,Phone Model,Agreement,Tenure,Credit Category,Down payment,Per Month for phone,Plan For,Type,Plan Name,Line,Target Amount(Price),Price
1,###,North East,Store 9,22-01-2017,4,Apple,iPhone 6S,Installment,24,Building Credit,75,18.96,Phone,Regular,Unlimited Freedom,2,80,93.96
2,###,West,Store 4,14-03-2017,11,Android,HTC Bolt,Installment,24,Building Credit,50,22.92,Phone,Promo,Unlimited Freedom,1,50,72.92
3,###,South,Store 11,07-02-2017,6,Android,LG G6,Installment,24,Good Credit,0,14.75,Phone,Regular,Unlimited Freedom,2,80,14.75
4,###,West,Store 16,12-01-2017,2,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Regular,Unlimited Freedom,3,90,34.96
5,###,North East,Store 13,14-02-2017,7,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,4,120,35.42
6,###,South,Store 3,15-01-2017,3,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Promo,Unlimited Freedom,1,50,34.96
7,###,West,Store 12,05-02-2017,6,Android,Samsung S8+,Installment,24,Building Credit,250,25,Phone,Regular,Unlimited Freedom,1,60,275
8,###,North East,Store 5,20-02-2017,8,Apple,iPhone 7,Installment,24,Good Credit,0,27.09,Phone,Promo,Unlimited Freedom,5,120,27.09
9,###,North East,Store 13,10-02-2017,6,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Regular,Unlimited Freedom,3,90,34.96
10,###,South,Store 19,05-01-2017,1,Android,Samsung S8,Installment,24,Building Credit,225,21.88,Phone,Regular,Unlimited Freedom,5,150,246.88
11,###,West,Store 4,27-02-2017,9,Apple,iPhone 6S,Installment,24,Good Credit,0,22.09,Phone,Regular,Unlimited Freedom,2,80,22.09
12,###,North East,Store 1,07-02-2017,6,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Regular,Unlimited Freedom,5,150,271.54
13,###,West,Store 4,24-02-2017,8,Apple,iPhone 7,Installment,24,Good Credit,0,27.09,Phone,Regular,Unlimited Freedom,3,90,27.09
14,###,Midwest,Store 10,23-01-2017,4,Android,LG G6,Installment,24,Good Credit,0,14.75,Phone,Regular,Unlimited Freedom,5,150,14.75
15,###,North East,Store 5,17-03-2017,11,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Regular,Unlimited Freedom,4,120,271.54
16,###,West,Store 20,14-02-2017,7,Apple,iPhone 7 Plus,Lease,18,Building Credit,200,20.98,Phone,Regular,Unlimited Freedom,1,60,220.98
17,###,West,Store 4,06-03-2017,10,Apple,iPhone 7,Lease,18,Building Credit,150,18.76,Phone,Regular,Unlimited Freedom,5,150,168.76
18,###,North East,Store 13,01-01-2017,1,Apple,iPhone 7 Plus,Lease,18,Building Credit,200,20.98,Phone,Promo,Unlimited Freedom,5,120,220.98
19,###,West,Store 8,22-03-2017,12,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,4,120,31.25
20,###,West,Store 12,01-03-2017,9,Android,LG G6,Installment,24,Building Credit,0,6.42,Phone,Regular,Unlimited Freedom,3,90,206.42
21,###,South,Store 15,07-03-2017,10,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Regular,Unlimited Freedom,2,80,271.54
22,###,Midwest,Store 14,02-01-2017,1,Apple,iPhone 7,Lease,18,Good Credit,0,27.09,Phone,Regular,Unlimited Freedom,1,60,27.09
23,###,North East,Store 1,02-03-2017,9,Android,HTC 10,Installment,24,Good Credit,0,24,Phone,Regular,Unlimited Freedom,2,80,24
24,###,South,Store 3,22-01-2017,4,Android,Samsung J7 Perx,Installment,24,Good Credit,0,11,Phone,Promo,Unlimited Freedom,1,50,11
25,###,West,Store 12,22-02-2017,8,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,5,150,7
26,###,North East,Store 1,22-02-2017,8,Apple,iPhone 7,Lease,18,Building Credit,150,18.76,Phone,Promo,Unlimited Freedom,5,120,168.76
27,###,South,Store 15,26-02-2017,9,Apple,iPhone 7,Lease,18,Building Credit,150,18.76,Phone,Promo,Unlimited Freedom,1,50,168.76
28,###,West,Store 8,08-03-2017,10,Android,HTC 10,Installment,24,Building Credit,150,20.8,Phone,Regular,Unlimited Freedom,4,120,170.8
29,###,North East,Store 1,21-02-2017,8,Android,LG Stylo 3,Installment,24,Good Credit,0,11,Phone,Regular,Unlimited Freedom,4,120,11
30,###,Midwest,Store 2,07-03-2017,10,Android,Samsung J7 Perx,Installment,24,Good Credit,0,11,Phone,Promo,Unlimited Freedom,1,50,11
31,###,West,Store 12,19-01-2017,3,Android,HTC 10,Installment,24,Building Credit,150,20.8,Phone,Regular,Unlimited Freedom,4,120,170.8
32,###,West,Store 8,13-03-2017,11,Android,Samsung J3 Emerge,Installment,24,Building Credit,25,5.96,Phone,Regular,Unlimited Freedom,2,80,30.96
33,###,West,Store 8,19-01-2017,3,Apple,iPhone 7 Plus,Lease,18,Building Credit,200,20.98,Phone,Regular,Unlimited Freedom,5,150,220.98
34,###,Midwest,Store 18,11-03-2017,10,Android,LG G6,Installment,24,Good Credit,0,14.75,Phone,Regular,Unlimited Freedom,1,60,14.75
35,###,North East,Store 1,05-02-2017,6,Apple,iPhone 7 Plus,Lease,18,Building Credit,200,20.98,Phone,Promo,Unlimited Freedom,1,50,220.98
36,###,South,Store 15,17-03-2017,11,Android,Samsung S8+,Installment,24,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,2,80,35.42
37,###,Midwest,Store 6,12-02-2017,7,Android,Samsung S8+,Installment,24,Building Credit,250,25,Phone,Regular,Unlimited Freedom,4,120,275
38,###,North East,Store 1,16-03-2017,11,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,4,120,35.42
39,###,North East,Store 1,17-01-2017,3,Android,HTC Bolt,Installment,24,Good Credit,0,25,Phone,Regular,Unlimited Freedom,5,150,25
40,###,North East,Store 1,25-03-2017,12,Android,LG G6,Installment,24,Good Credit,0,14.75,Phone,Regular,Unlimited Freedom,3,90,14.75
41,###,West,Store 16,12-01-2017,2,Apple,iPhone 6S,Installment,24,Good Credit,0,22.09,Phone,Promo,Unlimited Freedom,5,120,22.09
42,###,West,Store 16,26-01-2017,4,Apple,iPhone 7,Installment,24,Building Credit,150,20.84,Phone,Promo,Unlimited Freedom,5,120,170.84
43,###,North East,Store 1,28-02-2017,9,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Regular,Unlimited Freedom,4,120,271.54
44,###,Midwest,Store 14,21-03-2017,12,Android,Samsung S8,Installment,24,Building Credit,225,21.88,Phone,Regular,Unlimited Freedom,3,90,246.88
45,###,North East,Store 13,20-03-2017,12,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,1,60,31.25
46,###,West,Store 12,05-01-2017,1,Apple,iPhone 6S Plus,Installment,24,Building Credit,100,22.09,Phone,Regular,Unlimited Freedom,3,90,122.09
47,###,South,Store 3,06-01-2017,1,Apple,iPhone 6S,Installment,24,Good Credit,0,22.09,Phone,Regular,Unlimited Freedom,5,150,22.09
48,###,North East,Store 5,10-02-2017,6,Android,HTC Bolt,Installment,24,Good Credit,0,25,Phone,Promo,Unlimited Freedom,1,50,25
49,###,Midwest,Store 2,21-01-2017,3,Apple,iPhone 7 Plus,Installment,24,Building Credit,200,23.75,Phone,Regular,Unlimited Freedom,1,60,223.75
50,###,Midwest,Store 18,19-02-2017,8,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Promo,Unlimited Freedom,5,120,34.96
51,###,North East,Store 17,06-03-2017,10,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Promo,Unlimited Freedom,1,50,271.54
52,###,North East,Store 9,28-03-2017,13,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Regular,Unlimited Freedom,3,90,34.96
53,###,North East,Store 5,07-01-2017,1,Android,Samsung J3 Emerge,Installment,24,Building Credit,25,5.96,Phone,Regular,Unlimited Freedom,3,90,30.96
54,###,North East,Store 17,09-02-2017,6,Apple,iPhone 6S,Installment,24,Good Credit,0,22.09,Phone,Regular,Unlimited Freedom,1,60,22.09
55,###,North East,Store 1,25-02-2017,8,Apple,iPhone 6S,Installment,24,Building Credit,75,18.96,Phone,Regular,Unlimited Freedom,3,90,93.96
56,###,Midwest,Store 10,18-01-2017,3,Android,Samsung J7 Perx,Installment,24,Building Credit,25,9.96,Phone,Promo,Unlimited Freedom,5,120,34.96
57,###,South,Store 3,25-02-2017,8,Android,Samsung S8+,Installment,24,Building Credit,250,25,Phone,Regular,Unlimited Freedom,1,60,275
58,###,North East,Store 17,12-01-2017,2,Apple,iPhone 7,Installment,24,Building Credit,150,20.84,Phone,Regular,Unlimited Freedom,3,90,170.84
59,###,West,Store 12,18-01-2017,3,Android,HTC 10,Installment,24,Building Credit,150,20.8,Phone,Regular,Unlimited Freedom,5,150,170.8
60,###,South,Store 15,07-01-2017,1,Android,Samsung S8,Lease,18,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,5,150,31.25
61,###,West,Store 8,05-01-2017,1,Android,Samsung S8+,Installment,24,Building Credit,250,25,Phone,Regular,Unlimited Freedom,4,120,275
62,###,West,Store 8,16-03-2017,11,Android,Samsung S8,Lease,18,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,5,150,31.25
